raw,norm,count,raw_total,changed_confidence,raw_confidence,pattern
Sa,Så,4,6,1.0,0.6667,accent_or_diacritic_restore
Jeg,jeg,4,90,1.0,0.0444,case_change
pga,pga.,4,9,1.0,0.4444,punctuation_or_symbol_change
sla,slå,3,3,1.0,1.0,accent_or_diacritic_restore
S,Så,3,4,1.0,0.75,other_substitution
naeste,næste,3,3,1.0,1.0,danish_letter_restore
slar,slår,3,3,1.0,1.0,accent_or_diacritic_restore
glaede,glæde,3,3,1.0,1.0,danish_letter_restore
oq,og,3,3,1.0,1.0,other_substitution
sq,sgu,3,3,1.0,1.0,other_substitution
noqet,noget,3,3,1.0,1.0,other_substitution
minpige,min pige,3,3,1.0,1.0,whitespace_change
vaerd,værd,3,3,1.0,1.0,danish_letter_restore
mattson,Mattson,3,4,1.0,0.75,case_change
ka,kan,3,3,1.0,1.0,other_substitution
glaeder,glæder,3,3,1.0,1.0,danish_letter_restore
miq,mig,3,3,1.0,1.0,other_substitution
brn,børn,3,3,1.0,1.0,other_substitution
mde,måde,3,3,1.0,1.0,other_substitution
r,er,3,6,0.5,0.5,other_substitution
gr,gør,3,8,0.375,0.375,other_substitution
flelser,følelser,3,3,1.0,1.0,other_substitution
nsten,næsten,3,3,1.0,1.0,other_substitution
prvet,prøvet,3,3,1.0,1.0,other_substitution
dd,død,3,3,1.0,1.0,other_substitution
r,år,3,6,0.5,0.5,other_substitution
grd,græd,3,3,1.0,1.0,other_substitution
faet,fået,3,4,1.0,0.75,accent_or_diacritic_restore
kraefter,kræfter,3,3,1.0,1.0,danish_letter_restore
Nar,Når,3,4,1.0,0.75,accent_or_diacritic_restore
laes,læs,3,3,1.0,1.0,danish_letter_restore
arets,årets,3,3,1.0,1.0,accent_or_diacritic_restore
ha,have,3,3,1.0,1.0,expansion_or_abbreviation_restore
mal,mål,3,3,1.0,1.0,accent_or_diacritic_restore
fx,f.eks.,3,3,1.0,1.0,punctuation_or_symbol_change
Mænd,mænd,3,3,1.0,1.0,case_change
faa,få,3,3,1.0,1.0,danish_letter_restore
Det,det,3,77,1.0,0.039,case_change
laegger,lægger,2,2,1.0,1.0,danish_letter_restore
saetter,sætter,2,2,1.0,1.0,danish_letter_restore
JEG,Jeg,2,2,1.0,1.0,case_change
fraek,fræk,2,2,1.0,1.0,danish_letter_restore
vaelg,vælg,2,2,1.0,1.0,danish_letter_restore
vaertfald,værtfald,2,2,1.0,1.0,danish_letter_restore
ihvertfald,i hvert fald,2,4,1.0,0.5,whitespace_change
sir,siger,2,2,1.0,1.0,expansion_or_abbreviation_restore
rabte,råbte,2,2,1.0,1.0,accent_or_diacritic_restore
arig,årig,2,2,1.0,1.0,accent_or_diacritic_restore
svaert,svært,2,2,1.0,1.0,danish_letter_restore
laeberne,læberne,2,2,1.0,1.0,danish_letter_restore
altsa,altså,2,4,1.0,0.5,accent_or_diacritic_restore
manqe,mange,2,2,1.0,1.0,other_substitution
haevne,hævne,2,2,1.0,1.0,danish_letter_restore
aerlig,ærlig,2,2,1.0,1.0,danish_letter_restore
thomsen,Thomsen,2,2,1.0,1.0,case_change
os,også,2,15,0.6667,0.1333,expansion_or_abbreviation_restore
hvornar,hvornår,2,2,1.0,1.0,accent_or_diacritic_restore
gøre,gør,2,11,1.0,0.1818,other_substitution
miin,min,2,2,1.0,1.0,other_substitution
star,står,2,2,1.0,1.0,accent_or_diacritic_restore
laerende,lærerne,2,2,1.0,1.0,other_substitution
fortsaetter,fortsætter,2,2,1.0,1.0,danish_letter_restore
bby,baby,2,2,1.0,1.0,other_substitution
sjaelland,Sjælland,2,2,1.0,1.0,danish_letter_restore
iik,ikke,2,2,1.0,1.0,other_substitution
bli,blive,2,2,1.0,1.0,expansion_or_abbreviation_restore
HANS,hans,2,3,1.0,0.6667,case_change
Hva,Hvad,2,2,1.0,1.0,other_substitution
man,mand,2,58,1.0,0.0345,other_substitution
Pa,På,2,2,1.0,1.0,accent_or_diacritic_restore
laengere,længere,2,2,1.0,1.0,danish_letter_restore
søren,Søren,2,2,1.0,1.0,case_change
ejj,ej,2,2,1.0,1.0,other_substitution
laesning,læsning,2,2,1.0,1.0,danish_letter_restore
kaerste,kæreste,2,2,1.0,1.0,other_substitution
igang,i gang,2,2,1.0,1.0,whitespace_change
kommentare,kommentarer,2,2,1.0,1.0,other_substitution
teh,the,2,2,1.0,1.0,other_substitution
kreste,kæreste,2,2,1.0,1.0,other_substitution
forstr,forstår,2,2,1.0,1.0,other_substitution
flger,følger,2,2,1.0,1.0,other_substitution
forldre,forældre,2,2,1.0,1.0,other_substitution
grnsen,grænsen,2,2,1.0,1.0,other_substitution
f,få,2,2,1.0,1.0,other_substitution
krver,kræver,2,2,1.0,1.0,other_substitution
tnker,tænker,2,2,1.0,1.0,other_substitution
Collagen,Kollagen,2,2,1.0,1.0,other_substitution
Jeq,Jeg,2,3,1.0,0.6667,other_substitution
fr,får,2,3,0.6667,0.6667,other_substitution
sd,sød,2,2,1.0,1.0,other_substitution
krligheden,kærligheden,2,2,1.0,1.0,other_substitution
fuldstndig,fuldstændig,2,2,1.0,1.0,other_substitution
vret,været,2,2,1.0,1.0,other_substitution
strste,største,2,2,1.0,1.0,other_substitution
lnge,længe,2,2,1.0,1.0,other_substitution
lngere,længere,2,2,1.0,1.0,other_substitution
hnd,hånd,2,2,1.0,1.0,other_substitution
nrmest,nærmest,2,2,1.0,1.0,other_substitution
virkeliq,virkelig,2,2,1.0,1.0,other_substitution
vaerre,værre,2,2,1.0,1.0,danish_letter_restore
foraeldre,forældre,2,2,1.0,1.0,danish_letter_restore
hende,hendes,2,7,1.0,0.2857,other_substitution
graede,græde,2,2,1.0,1.0,danish_letter_restore
aegte,ægte,2,2,1.0,1.0,danish_letter_restore
laere,lære,2,2,1.0,1.0,danish_letter_restore
aeldre,ældre,2,2,1.0,1.0,danish_letter_restore
faergen,færgen,2,2,1.0,1.0,danish_letter_restore
rabe,råbe,2,2,1.0,1.0,accent_or_diacritic_restore
sta,stå,2,2,1.0,1.0,accent_or_diacritic_restore
Ogsa,Også,2,2,1.0,1.0,accent_or_diacritic_restore
spaendende,spændende,2,2,1.0,1.0,danish_letter_restore
ars,års,2,2,1.0,1.0,accent_or_diacritic_restore
tidsgraensen,tidsgrænsen,2,2,1.0,1.0,danish_letter_restore
baerer,bærer,2,2,1.0,1.0,danish_letter_restore
englaenderne,englænderne,2,2,1.0,1.0,danish_letter_restore
malmand,målmand,2,2,1.0,1.0,accent_or_diacritic_restore
savel,såvel,2,2,1.0,1.0,accent_or_diacritic_restore
IKKE,ikke,2,2,1.0,1.0,case_change
ehk,ikke,2,2,1.0,1.0,other_substitution
paedofile,pædofile,2,2,1.0,1.0,danish_letter_restore
arige,årige,2,2,1.0,1.0,accent_or_diacritic_restore
kaereste,kæreste,2,2,1.0,1.0,danish_letter_restore
svaerere,sværere,2,2,1.0,1.0,danish_letter_restore
taettere,tættere,2,2,1.0,1.0,danish_letter_restore
MEN,men,2,2,1.0,1.0,case_change
Glæd,glæd,2,5,1.0,0.4,case_change
Nogle,nogle,2,3,1.0,0.6667,case_change
racistisk,racistiske,2,18,1.0,0.1111,other_substitution
el.,eller,2,2,1.0,1.0,punctuation_or_symbol_change
.,,2,691,1.0,0.0029,punctuation_or_symbol_change
Valget,valget,2,2,1.0,1.0,case_change
Indefra,indefra,2,2,1.0,1.0,case_change
er-musik,er musik,2,2,1.0,1.0,whitespace_change
sjov,sjove,2,46,1.0,0.0435,other_substitution
chokolade-bar,chokoladebar,2,2,1.0,1.0,other_substitution
t,,2,5,0.6667,0.4,other_substitution
tilfaeldigt,tilfældigt,1,1,1.0,1.0,danish_letter_restore
Taenk,Tænk,1,1,1.0,1.0,danish_letter_restore
saetning,sætning,1,1,1.0,1.0,danish_letter_restore
taenke,tænkte,1,5,0.2,0.2,other_substitution
taender,tænder,1,1,1.0,1.0,danish_letter_restore
Maerkeligt,Mærkeligt,1,1,1.0,1.0,danish_letter_restore
vaerelse,værelse,1,1,1.0,1.0,danish_letter_restore
FATTER,fatter,1,1,1.0,1.0,case_change
DEN,den,1,1,1.0,1.0,case_change
NU,nu,1,1,1.0,1.0,case_change
JO,jo,1,1,1.0,1.0,case_change
TAK,tak,1,1,1.0,1.0,case_change
vaerer,være,1,1,1.0,1.0,other_substitution
3.verdenskrig,3. verdenskrig,1,1,1.0,1.0,digit_related_change
adolf,Adolf,1,1,1.0,1.0,case_change
hitler,Hitler,1,1,1.0,1.0,case_change
knaegt,knægt,1,1,1.0,1.0,danish_letter_restore
ginial,genial,1,1,1.0,1.0,other_substitution
overstte,oversætte,1,1,1.0,1.0,other_substitution
lre,lære,1,1,1.0,1.0,other_substitution
blkregning,blækregning,1,1,1.0,1.0,other_substitution
tilfje,tilføje,1,1,1.0,1.0,other_substitution
vrket,værket,1,1,1.0,1.0,other_substitution
hvA,hvad,1,1,1.0,1.0,other_substitution
SaH,så,1,1,1.0,1.0,other_substitution
dR,der,1,1,1.0,1.0,other_substitution
maaN,mand,1,1,1.0,1.0,other_substitution
iS,is,1,1,1.0,1.0,case_change
iN,in,1,1,1.0,1.0,case_change
Da,the,1,5,1.0,0.2,other_substitution
HoUse,house,1,1,1.0,1.0,case_change
braemsespor,bremsespor,1,1,1.0,1.0,other_substitution
dvaerg,dværg,1,1,1.0,1.0,danish_letter_restore
Min,min,1,9,1.0,0.1111,case_change
naesen,næsen,1,1,1.0,1.0,danish_letter_restore
aede,æde,1,1,1.0,1.0,danish_letter_restore
nullermaend,nullermænd,1,1,1.0,1.0,danish_letter_restore
goergh,George,1,1,1.0,1.0,other_substitution
bush,Bush,1,1,1.0,1.0,case_change
vilken,hvilken,1,1,1.0,1.0,other_substitution
kaerester,kærester,1,1,1.0,1.0,danish_letter_restore
chillarn,chilleren,1,1,1.0,1.0,other_substitution
menning,mening,1,1,1.0,1.0,other_substitution
traels,træls,1,1,1.0,1.0,danish_letter_restore
saelger,sælger,1,1,1.0,1.0,danish_letter_restore
odense,Odense,1,1,1.0,1.0,case_change
naej,nej,1,1,1.0,1.0,other_substitution
overhovdet,overhovedet,1,1,1.0,1.0,other_substitution
destromindre,desto mindre,1,1,1.0,1.0,whitespace_change
fuldmanen,fuldmånen,1,1,1.0,1.0,accent_or_diacritic_restore
vernden,verden,1,1,1.0,1.0,other_substitution
ivejen,i vejen,1,1,1.0,1.0,whitespace_change
vad,våd,1,2,1.0,0.5,accent_or_diacritic_restore
tare,tårer,1,1,1.0,1.0,other_substitution
RIGTIG,rigtig,1,1,1.0,1.0,case_change
traek,træk,1,1,1.0,1.0,danish_letter_restore
paul,Paul,1,1,1.0,1.0,case_change
traejen,trøjen,1,1,1.0,1.0,other_substitution
lego,Lego,1,1,1.0,1.0,case_change
indanding,indånding,1,1,1.0,1.0,accent_or_diacritic_restore
besaettelse,besættelse,1,1,1.0,1.0,danish_letter_restore
haevnlyst,hævnlyst,1,1,1.0,1.0,danish_letter_restore
ødelaegge,ødelægge,1,1,1.0,1.0,other_substitution
ødelaeggende,ødelæggende,1,1,1.0,1.0,other_substitution
haevnlysten,hævnlysten,1,1,1.0,1.0,danish_letter_restore
Haevnen,Hævnen,1,1,1.0,1.0,danish_letter_restore
glaeden,glæden,1,1,1.0,1.0,danish_letter_restore
forsaetter,forsætter,1,1,1.0,1.0,danish_letter_restore
glimmet,glimtet,1,1,1.0,1.0,other_substitution
aevn,ævn,1,1,1.0,1.0,danish_letter_restore
noqenlunde,nogenlunde,1,1,1.0,1.0,other_substitution
muliqe,mulige,1,1,1.0,1.0,other_substitution
forskelliqe,forskellige,1,1,1.0,1.0,other_substitution
mader,måder,1,1,1.0,1.0,accent_or_diacritic_restore
piqe,pige,1,1,1.0,1.0,other_substitution
undskyld,Undskyld,1,1,1.0,1.0,case_change
diin,din,1,1,1.0,1.0,other_substitution
forstar,forstår,1,1,1.0,1.0,accent_or_diacritic_restore
vaerere,værre,1,1,1.0,1.0,other_substitution
ida,Ida,1,1,1.0,1.0,case_change
jensen,Jensen,1,1,1.0,1.0,case_change
wooow,wow,1,1,1.0,1.0,repeated_char_reduction
matilde,Matilde,1,1,1.0,1.0,case_change
sandgaard,Sandgaard,1,1,1.0,1.0,case_change
hasseb,Hasseb,1,1,1.0,1.0,case_change
hakimi,Hakimi,1,1,1.0,1.0,case_change
louise,Louise,1,1,1.0,1.0,case_change
mikkelsen,Mikkelsen,1,1,1.0,1.0,case_change
frida,Frida,1,1,1.0,1.0,case_change
maria,Maria,1,1,1.0,1.0,case_change
engholm,Engholm,1,1,1.0,1.0,case_change
isabell,Isabell,1,1,1.0,1.0,case_change
honore,Honore,1,1,1.0,1.0,case_change
anne-sofie,Anne-Sofie,1,1,1.0,1.0,case_change
grell,Grell,1,1,1.0,1.0,case_change
mette,Mette,1,1,1.0,1.0,case_change
sae,så,1,1,1.0,1.0,other_substitution
okey,okay,1,1,1.0,1.0,other_substitution
simone,Simone,1,1,1.0,1.0,case_change
_jeg,jeg,1,1,1.0,1.0,other_substitution
isteden,i stedet,1,1,1.0,1.0,whitespace_change
KUN,kun,1,1,1.0,1.0,case_change
laaaaaaang,lang,1,1,1.0,1.0,repeated_char_reduction
maerkeliqe,mærkeligt,1,1,1.0,1.0,other_substitution
taenkt,tænkt,1,1,1.0,1.0,danish_letter_restore
fuldstaendigt,fuldstændigt,1,2,1.0,0.5,danish_letter_restore
maaayn,mand,1,1,1.0,1.0,repeated_char_reduction
du,Du,1,108,1.0,0.0093,case_change
