count,lang,category,raw_token,norm_token,pred_token
6,en,over_normalized,wtf,wtf,what thefuck
6,hr,over_normalized,su,su,suše
6,hr,over_normalized,ma,ma,me
6,hr,missed_change,ko,tko,ko
6,hr,missed_change,bi,bih,bi
6,hr,over_normalized,ne,ne,nemaju
6,hr,over_normalized,da,da,đa
6,hr,missed_change,kaj,što,kaj
6,id,missed_change,@adiadrian_ds,[mention],@adiadrian_ds
6,iden,over_normalized,",",",",،
6,ja,over_normalized,ます,ます,です
6,ja,missed_change,),)。,)
6,ja,wrong_correction,ます,ます 。,です
6,ja,over_normalized,の,の,の bergen
6,nl,missed_change,Wijntje,Wijn,Wijntje
6,sl,over_normalized,so,so,tako
6,sl,wrong_correction,k,ko,ka
6,sl,over_normalized,je,je,ja
6,sr,over_normalized,biti,biti,бити
6,sr,over_normalized,tako,tako,тако
6,sr,over_normalized,kako,kako,како
6,sr,over_normalized,ima,ima,има
6,sr,over_normalized,meni,meni,мени
6,sr,over_normalized,ću,ću,ћу
6,sr,over_normalized,koje,koje,које
6,sr,over_normalized,mogu,mogu,могу
6,sr,over_normalized,do,do,до
6,sr,over_normalized,a,a,и
6,sr,over_normalized,ovo,ovo,ово
6,th,over_normalized,เค้า,เค้า,เขา
6,vi,over_normalized,m,m,mày
5,de,missed_change,und,Und,und
5,de,missed_change,die,Die,die
5,de,wrong_correction,naja,Na ja,na ja
5,de,missed_change,das,Das,das
5,de,wrong_correction,hab,habe,hat
5,en,over_normalized,:,:,::
5,hr,over_normalized,bilo,bilo,bio
5,hr,over_normalized,mogu,mogu,možem
5,hr,over_normalized,je,je,jeste
5,hr,over_normalized,ih,ih,njih
5,hr,over_normalized,imam,imam,имам
5,id,wrong_correction,KAU,kau,Kamu
5,id,missed_change,@ibethjuntak,[mention],@ibethjuntak
5,id,missed_change,@zenniputry,[mention],@zenniputry
5,id,missed_change,@adimi3_widjaja,[mention],@adimi3_widjaja
5,iden,missed_change,lu,kamu,lu
5,iden,over_normalized,",",",",koma
5,ja,wrong_correction,ん,の,です
5,ja,missed_change,ます,ます 。,ます
5,ja,missed_change,か,か 。,か
5,ja,over_normalized,し,し,して
5,ja,missed_change,たら,と,たら
5,ja,missed_change,）,） 。,）
5,ko,wrong_correction,존나,매우,정나
5,nl,wrong_correction,peukje,peuk,drinkie
5,sl,over_normalized,.,.,je
5,sl,over_normalized,to,to,ta
5,sl,wrong_correction,k,ko,ker
5,sl,missed_change,ma,ima,ma
5,sl,over_normalized,sem,sem,se
5,sl,over_normalized,mi,mi,me
5,sl,over_normalized,bi,bi,bili
5,sl,missed_change,u,v,u
5,sr,over_normalized,kad,kad,kada
5,sr,over_normalized,jedan,jedan,један
5,sr,over_normalized,su,su,suše
5,sr,over_normalized,ko,ko,ко
5,sr,over_normalized,sve,sve,све
5,sr,over_normalized,može,može,може
5,sr,over_normalized,zašto,zašto,зашто
5,sr,over_normalized,o,o,о
5,sr,over_normalized,možda,možda,можда
5,sr,over_normalized,bez,bez,без
5,sr,over_normalized,bih,bih,bих
5,sr,over_normalized,me,me,мена
5,sr,over_normalized,dva,dva,два
5,sr,over_normalized,imam,imam,имам
5,sr,over_normalized,tviteru,tviteru,твитеру
5,th,over_normalized,กิน,กิน,ทาน
5,th,missed_change,จ้า,จ้ะ,จ้า
5,th,over_normalized,ว่า,ว่า,ที่
5,th,over_normalized,ที่สุด,ที่สุด,มาก
5,th,over_normalized,_,_,แล้ว
5,vi,wrong_correction,dị,vậy,điên
4,de,missed_change,jetzt,Jetzt,jetzt
4,de,wrong_correction,jaa,Ja,ja
4,hr,over_normalized,zbog,zbog,zbogom
4,hr,over_normalized,tko,tko,ko
4,hr,over_normalized,iz,iz,od
4,hr,over_normalized,netko,netko,neki
4,hr,over_normalized,ne,ne,ni
4,hr,over_normalized,toliko,toliko,tako
4,hr,over_normalized,ni,ni,nije
4,hr,over_normalized,mene,mene,me
4,hr,over_normalized,kao,kao,ka
4,hr,over_normalized,nisam,nisam,nismo
4,hr,missed_change,god,god.,god
4,hr,missed_change,sportskihdogađaja,sportskih,sportskihdogađaja
4,id,missed_change,@ruben_onsu,[mention],@ruben_onsu
4,id,missed_change,@bimoanggarayuda,[mention],@bimoanggarayuda
4,iden,over_normalized,.,.,malamnya
4,iden,missed_change,gue,saya,gue
4,ja,over_normalized,だ,だ,です
4,ja,over_normalized,。,。,です
4,ja,over_normalized,て,て,って
4,ja,missed_change,なさい,なさい 。,なさい
4,ja,missed_change,ください,ください 。,ください
4,ja,missed_change,けど,けれど,けど
4,ja,over_normalized,い,い,いる
4,ja,missed_change,て,と,て
